MANDT	APPLK	BUKRS	SPARTE	HVORG	TVORG	SHKZG	STAKZ	XMANB	SPZAH	MANSP	VERKZ	IKEY	SPERZ	ZPSTI	MAHNV	STRKZ	TXT10	TXT30
110	T	1000		0300	1060	S											Connectivity NTTI - OTC	Connectivity NTTI - OTC
110	T	1000		0300	1062	S											Device Services - Recurr	Device Services - Recurr
110	T	1000		0300	1064	S											Connectivity NTTI - Recurr	Connectivity NTTI - Recurr
110	T	1000		0300	1066	S											Device Services - OTC	Device Services - OTC
110	T	1000		0300	1068	S											Farsiendo IT Services - Adjusment	Farsiendo IT Services - Adjusment
110	T	1000		0300	1070	S											Device Services - OTC	Device Services - OTC
110	T	1000		0300	1072	S											Device Services - Recurr	Device Services - Recurr
110	T	1000		0300	1074	S											Business Process Outsourcing - OTC	Business Process Outsourcing - OTC
110	T	1000		0300	1076	S											Business Process Outsourcing - Recurr	Business Process Outsourcing - Recurr
110	T	1000		0300	1061	H											Connectivity NTTI - OTC	Connectivity NTTI - OTC
110	T	1000		0300	1063	H											Device Services - Recurr	Device Services - Recurr
110	T	1000		0300	1065	H											Connectivity NTTI - Recurr	Connectivity NTTI - Recurr
110	T	1000		0300	1067	H											Device Services - OTC	Device Services - OTC
110	T	1000		0300	1069	H											Farsiendo IT Services - Adjusment	Farsiendo IT Services - Adjusment
110	T	1000		0300	1071	H											Device Services - OTC	Device Services - OTC
110	T	1000		0300	1073	H											Device Services - Recurr	Device Services - Recurr
110	T	1000		0300	1075	H											Business Process Outsourcing - OTC	Business Process Outsourcing - OTC
110	T	1000		0300	1077	H											Business Process Outsourcing - Recurr	Business Process Outsourcing - Recurr
